
Gurobi 12.0.3 (win64) logging started Mon Sep  7 19:53:57 2026

Set parameter LogFile to value "C:\Users\TECNO-MASTER\Desktop\Elmo_infrastructure_sizing_NP-\output\DCH_septiembre\Bateria_353\Costo_fijo\Swap_restringido\Swap_fixed_3estaciones_160kW_Descomp\station_2_d213_stage1\ELMO_log.txt"
Set parameter Threads to value 1
Set parameter Heuristics to value 0.5
Set parameter MIPFocus to value 3
Set parameter Presolve to value 2
Set parameter FlowCoverCuts to value 2
Gurobi Optimizer version 12.0.3 build v12.0.3rc0 (win64 - Windows 11+.0 (26200.2))

CPU model: Intel(R) Core(TM) i9-14900K, instruction set [SSE2|AVX|AVX2]
Thread count: 24 physical cores, 32 logical processors, using up to 1 threads

Non-default parameters:
TimeLimit  1200
MIPGap  0.05
Heuristics  0.5
MIPFocus  3
FlowCoverCuts  2
Presolve  2
Threads  1

Optimize a model with 26932 rows, 54733 columns and 250280 nonzeros
Model fingerprint: 0xa2a9451f
Variable types: 2129 continuous, 52604 integer (19481 binary)
Coefficient statistics:
  Matrix range     [1e+00, 3e+02]
  Objective range  [4e-01, 8e+04]
  Bounds range     [1e+00, 1e+01]
  RHS range        [1e+00, 1e+04]
Presolve removed 25548 rows and 45429 columns
Presolve time: 0.22s
Presolved: 1384 rows, 9304 columns, 30500 nonzeros
Variable types: 216 continuous, 9088 integer (8776 binary)
Found heuristic solution: objective 582455.88889
Root relaxation presolved: 1384 rows, 9304 columns, 30500 nonzeros


Use crossover to convert LP symmetric solution to basic solution...

Root relaxation: objective 2.721660e+05, 4319 iterations, 0.10 seconds (0.09 work units)

    Nodes    |    Current Node    |     Objective Bounds      |     Work
 Expl Unexpl |  Obj  Depth IntInf | Incumbent    BestBd   Gap | It/Node Time

     0     0 272166.029    0   62 582455.889 272166.029  53.3%     -    0s
H    0     0                    581612.33333 272166.029  53.2%     -    0s
     0     0 272166.029    0   60 581612.333 272166.029  53.2%     -    1s
H    0     0                    580833.66667 272277.636  53.1%     -    1s
H    0     0                    428198.00000 272277.636  36.4%     -    1s
H    0     0                    427419.33333 272277.636  36.3%     -    1s
     0     0 284548.889    0   40 427419.333 284548.889  33.4%     -    1s
     0     0 284548.889    0   12 427419.333 284548.889  33.4%     -    2s
     0     0 284548.889    0   15 427419.333 284548.889  33.4%     -    2s
     0     0 284548.889    0   17 427419.333 284548.889  33.4%     -    3s
     0     0 284548.889    0   20 427419.333 284548.889  33.4%     -    3s
     0     0 284548.889    0   19 427419.333 284548.889  33.4%     -    3s
     0     0 284548.889    0   20 427419.333 284548.889  33.4%     -    4s
     0     0 284548.889    0   20 427419.333 284548.889  33.4%     -    4s
     0     2 284548.889    0   19 427419.333 284548.889  33.4%     -    5s
    54    56 284548.889   28   24 427419.333 284548.889  33.4%   237   10s
   106   108 284548.889   15   44 427419.333 284548.889  33.4%   183   15s
H  162   162                    427419.31729 284548.889  33.4%   214   19s
   168   170 284548.889   41   28 427419.317 284548.889  33.4%   208   20s
   234   232 284548.889   74   61 427419.317 284548.889  33.4%   181   25s
   300   298 284548.889   41   30 427419.317 284548.889  33.4%   179   30s
   325   323 284548.889   53   24 427419.317 284548.889  33.4%   170   35s
   397   395 284548.889   87   21 427419.317 284548.889  33.4%   152   40s
   437   433 284548.889  107   18 427419.317 284548.889  33.4%   150   47s
   486   482 284548.889  125   32 427419.317 284548.889  33.4%   141   50s
   517   511 284548.889   20   51 427419.317 284548.889  33.4%   135   55s
   522   515 284548.889   62   16 427419.317 284548.889  33.4%   133   60s
   525   517 284548.889   46   11 427419.317 284548.889  33.4%   133   65s
H  536   497                    427419.31711 284548.889  33.4%   130   69s
   541   502 284548.889   11   33 427419.317 284548.889  33.4%   188   70s
   604   544 284548.889   35   12 427419.317 284548.889  33.4%   171   75s
   645   572 284548.889   51   18 427419.317 284548.889  33.4%   161   80s
   719   614 284548.889   38   16 427419.317 284548.889  33.4%   147   87s
   746   632 284548.889   52   12 427419.317 284548.889  33.4%   142   90s
   807   673 284548.889   79   26 427419.317 284548.889  33.4%   134   95s
   861   695 284548.889   76   12 427419.317 284548.889  33.4%   126  100s
   931   739 284548.889   53   16 427419.317 284548.889  33.4%   120  105s
   964   759 284548.889   85   44 427419.317 284548.889  33.4%   120  110s
  1023   799 284548.889  104   21 427419.317 284548.889  33.4%   114  115s
  1077   835 284548.889  116   11 427419.317 284548.889  33.4%   109  120s
  1149   883 284548.889  122   11 427419.317 284548.889  33.4%   104  125s
  1193   912 284548.889  143   11 427419.317 284548.889  33.4%   101  130s
  1280   968 284548.889  183   12 427419.317 284548.889  33.4%  96.7  135s
  1347  1005 284548.889  120   17 427419.317 284548.889  33.4%  93.8  140s
  1395  1037 284548.889  143   11 427419.317 284548.889  33.4%  91.2  145s
  1471  1087 284548.889  182   24 427419.317 284548.889  33.4%  90.0  150s
  1547  1132 284548.889  220   16 427419.317 284548.889  33.4%  86.6  155s
  1617  1175 284548.889  115   13 427419.317 284548.889  33.4%  84.0  160s
  1682  1218 284548.889  149   11 427419.317 284548.889  33.4%  81.5  165s
  1752  1263 284548.889   47   14 427419.317 284548.889  33.4%  80.1  172s
