
Gurobi 12.0.3 (win64) logging started Tue Sep  8 03:51:29 2026

Set parameter LogFile to value "C:\Users\TECNO-MASTER\Desktop\Elmo_infrastructure_sizing_NP-\output\DCH_septiembre\Bateria_482\Costo_variable\Swap_restringido\Swap_variable_3estaciones_160kW_Descomp\station_1_d213_stage1\ELMO_log.txt"
Set parameter Threads to value 1
Set parameter Heuristics to value 0.5
Set parameter MIPFocus to value 3
Set parameter Presolve to value 2
Set parameter FlowCoverCuts to value 2
Gurobi Optimizer version 12.0.3 build v12.0.3rc0 (win64 - Windows 11+.0 (26200.2))

CPU model: Intel(R) Core(TM) i9-14900K, instruction set [SSE2|AVX|AVX2]
Thread count: 24 physical cores, 32 logical processors, using up to 1 threads

Non-default parameters:
TimeLimit  1200
MIPGap  0.05
Heuristics  0.5
MIPFocus  3
FlowCoverCuts  2
Presolve  2
Threads  1

Optimize a model with 26902 rows, 53707 columns and 246043 nonzeros
Model fingerprint: 0x0780e127
Variable types: 2099 continuous, 51608 integer (18485 binary)
Coefficient statistics:
  Matrix range     [1e+00, 4e+02]
  Objective range  [8e-03, 8e+04]
  Bounds range     [1e+00, 1e+01]
  RHS range        [1e+00, 1e+04]
Presolve removed 25498 rows and 44888 columns
Presolve time: 0.13s
Presolved: 1404 rows, 8819 columns, 29641 nonzeros
Variable types: 216 continuous, 8603 integer (8260 binary)
Found heuristic solution: objective 538007.35826
Root relaxation presolved: 1404 rows, 8819 columns, 29641 nonzeros


Use crossover to convert LP symmetric solution to basic solution...

Root relaxation: objective 2.439264e+05, 4190 iterations, 0.05 seconds (0.07 work units)

    Nodes    |    Current Node    |     Objective Bounds      |     Work
 Expl Unexpl |  Obj  Depth IntInf | Incumbent    BestBd   Gap | It/Node Time

     0     0 243926.364    0   85 538007.358 243926.364  54.7%     -    0s
     0     0 257151.506    0   78 538007.358 257151.506  52.2%     -    0s
H    0     0                    533382.73623 257157.817  51.8%     -    0s
H    0     0                    533050.76288 257157.817  51.8%     -    0s
     0     0 257157.817    0  114 533050.763 257157.817  51.8%     -    0s
     0     0 265494.009    0    9 533050.763 265494.009  50.2%     -    1s
     0     0 265494.009    0   16 533050.763 265494.009  50.2%     -    1s
     0     0 265494.009    0   13 533050.763 265494.009  50.2%     -    1s
H    0     0                    513850.76288 265494.009  48.3%     -    1s
H    0     0                    513845.12137 265494.009  48.3%     -    1s
H    0     0                    435087.54237 265494.009  39.0%     -    1s
H    0     0                    411354.45516 265494.009  35.5%     -    1s
H    0     0                    411295.85412 265494.009  35.4%     -    1s
H    0     0                    409108.99198 265494.009  35.1%     -    1s
H    0     0                    406950.40615 265494.009  34.8%     -    1s
     0     0 265494.009    0   11 406950.406 265494.009  34.8%     -    2s
     0     0 265494.009    0   11 406950.406 265494.009  34.8%     -    2s
H    0     0                    406933.39975 265494.009  34.8%     -    2s
H    0     0                    406910.73529 265494.009  34.8%     -    2s
H    0     0                    406882.90510 265494.009  34.7%     -    2s
H    0     0                    406879.06570 265494.009  34.7%     -    3s
     0     2 265494.009    0   11 406879.066 265494.009  34.7%     -    3s
H    9     9                    324459.65175 265494.009  18.2%  83.2    3s
H    9     9                    289459.65175 265494.009  8.28%  83.2    3s
H    9     9                    289249.73895 265494.009  8.21%  83.2    3s
H    9     9                    289232.79237 265494.009  8.21%  83.2    3s
H    9     9                    288886.12298 265494.009  8.10%  83.2    3s
    32    34 265494.009   12   46 288886.123 265494.009  8.10%  97.4    5s
   111   113 265494.009   29   14 288886.123 265494.009  8.10%   120   10s
H  186   186                    288865.78560 265494.009  8.09%  80.7   11s
H  186   186                    288863.90510 265494.009  8.09%  80.7   12s
H  186   186                    288841.72477 265494.009  8.08%  80.7   12s
   257   259 265494.009   63   10 288841.725 265494.009  8.08%  66.0   15s
   402   404 265494.009   67    8 288841.725 265494.009  8.08%  51.4   20s
H  514   488                    288839.74710 265494.009  8.08%  45.2   24s
   518   491 265494.009   67   11 288839.747 265494.009  8.08%  44.9   25s
   527   497 265494.009   24   12 288839.747 265494.009  8.08%  44.1   30s
   561   522 265494.009   19   58 288839.747 265494.009  8.08%  84.1   35s
   614   557 265494.009   33   20 288839.747 265494.009  8.08%  96.3   40s
   685   604 265494.009   20   74 288839.747 265494.009  8.08%   115   45s
   745   644 265494.009   38   12 288839.747 265494.009  8.08%   114   50s
   797   679 265494.009   48   15 288839.747 265494.009  8.08%   109   55s
   847   712 265494.009   62   12 288839.747 265494.009  8.08%   104   60s
   919   760 265494.009   74   10 288839.747 265494.009  8.08%  97.0   65s
  1021   828 265494.009   91   10 288839.747 265494.009  8.08%  89.1   70s
  1152   916 265494.009   95   10 288839.747 265494.009  8.08%  81.1   75s
  1242   976 265494.009  108   10 288839.747 265494.009  8.08%  76.5   80s
  1389  1074 265494.009   94   34 288839.747 265494.009  8.08%  72.6   85s
  1508  1153 265494.009  102   20 288839.747 265494.009  8.08%  76.1   90s
  1590  1208 265494.009   93   21 288839.747 265494.009  8.08%  83.6   95s
H 1603  1188                    288838.87421 265494.009  8.08%  83.6   96s
  1704  1258 265494.009   43    9 288838.874 265494.009  8.08%  87.2  100s
