
Gurobi 12.0.3 (win64) logging started Mon Sep  7 21:14:28 2026

Set parameter LogFile to value "C:\Users\TECNO-MASTER\Desktop\Elmo_infrastructure_sizing_NP-\output\DCH_septiembre\Bateria_353\Costo_fijo\Swap_libre\Swap_fixed_3estaciones_160kW_Descomp\station_3_d335_stage1\ELMO_log.txt"
Set parameter Threads to value 1
Set parameter Heuristics to value 0.5
Set parameter MIPFocus to value 3
Set parameter Presolve to value 2
Set parameter FlowCoverCuts to value 2
Gurobi Optimizer version 12.0.3 build v12.0.3rc0 (win64 - Windows 11+.0 (26200.2))

CPU model: Intel(R) Core(TM) i9-14900K, instruction set [SSE2|AVX|AVX2]
Thread count: 24 physical cores, 32 logical processors, using up to 1 threads

Non-default parameters:
TimeLimit  1200
MIPGap  0.05
Heuristics  0.5
MIPFocus  3
FlowCoverCuts  2
Presolve  2
Threads  1

Optimize a model with 26328 rows, 53707 columns and 244626 nonzeros
Model fingerprint: 0xbe0b6932
Variable types: 2099 continuous, 51608 integer (18485 binary)
Coefficient statistics:
  Matrix range     [1e+00, 3e+02]
  Objective range  [4e-01, 8e+04]
  Bounds range     [1e+00, 1e+01]
  RHS range        [1e+00, 1e+04]
Presolve removed 23458 rows and 43785 columns
Presolve time: 0.34s
Presolved: 2870 rows, 9922 columns, 32670 nonzeros
Variable types: 824 continuous, 9098 integer (8566 binary)
Root relaxation presolved: 2870 rows, 9922 columns, 32670 nonzeros


Root relaxation: objective 1.817590e+05, 11974 iterations, 1.76 seconds (1.90 work units)

    Nodes    |    Current Node    |     Objective Bounds      |     Work
 Expl Unexpl |  Obj  Depth IntInf | Incumbent    BestBd   Gap | It/Node Time

     0     0 181759.022    0   39          - 181759.022      -     -    3s
H    0     0                    267036.00000 181759.022  31.9%     -    3s
H    0     0                    267035.99987 181759.022  31.9%     -    3s
     0     0 181769.231    0   37 267036.000 181769.231  31.9%     -    4s
     0     0 182329.888    0   11 267036.000 182329.888  31.7%     -    5s
     0     0 182329.888    0   12 267036.000 182329.888  31.7%     -    6s
     0     0 182329.888    0   15 267036.000 182329.888  31.7%     -    6s
     0     0 182329.888    0   18 267036.000 182329.888  31.7%     -    7s
     0     0 182329.888    0   12 267036.000 182329.888  31.7%     -    7s
     0     2 182329.888    0   12 267036.000 182329.888  31.7%     -    8s
    19    21 182329.888   10   16 267036.000 182329.888  31.7%   338   10s
    45    47 182329.888   10   21 267036.000 182329.888  31.7%   580   15s
   129   131 182329.888   55   13 267036.000 182329.888  31.7%   221   20s
   188   190 182329.888   65   13 267036.000 182329.888  31.7%   163   25s
H  189   189                    267035.98724 182329.888  31.7%   162   25s
   270   272 182329.888   76   11 267035.987 182329.888  31.7%   127   30s
   348   350 182329.888   65   11 267035.987 182329.888  31.7%   108   35s
H  404   404                    267035.98711 182329.888  31.7%  99.4   37s
   480   482 182329.888   89   11 267035.987 182329.888  31.7%  91.3   40s
   514   514 182329.888   73   40 267035.987 182329.888  31.7%  88.7   48s
   516   516 182329.888   43   10 267035.987 182329.888  31.7%  88.4   50s
   526   522 182329.888   61   11 267035.987 182329.888  31.7%  86.7   55s
   553   542 182329.888   19    7 267035.987 182329.888  31.7%   194   60s
   594   570 182329.888   32   24 267035.987 182329.888  31.7%   193   65s
   657   612 182329.888   51   15 267035.987 182329.888  31.7%   175   70s
   716   651 182329.888   49   38 267035.987 182329.888  31.7%   161   77s
H  750   645                    267035.98699 182329.888  31.7%   155   79s
   750   647 182329.888   57   22 267035.987 182329.888  31.7%   155   80s
H  777   637                    267035.98686 182329.888  31.7%   149   81s
   794   650 182329.888   66   13 267035.987 182329.888  31.7%   146   85s
   878   706 182329.888   79   13 267035.987 182329.888  31.7%   133   90s
   941   748 182329.888   82   15 267035.987 182329.888  31.7%   125   95s
  1012   795 182329.888   98   15 267035.987 182329.888  31.7%   118  101s
  1066   831 182329.888  101   13 267035.987 182329.888  31.7%   113  105s
  1148   886 182329.888  102   13 267035.987 182329.888  31.7%   107  110s
  1241   948 182329.888  105   24 267035.987 182329.888  31.7%   100  115s
  1340  1014 182329.888  105   13 267035.987 182329.888  31.7%  94.7  120s
  1424  1070 182329.888  107   13 267035.987 182329.888  31.7%  90.5  125s
  1510  1127 182329.888  114   13 267035.987 182329.888  31.7%  86.8  130s
  1614  1197 182329.888   95   13 267035.987 182329.888  31.7%  82.7  135s
  1698  1253 182329.888  106   13 267035.987 182329.888  31.7%  79.9  140s
  1745  1284 182329.888  110   18 267035.987 182329.888  31.7%  78.5  145s
  1830  1341 182329.888  105   13 267035.987 182329.888  31.7%  75.9  150s
  1915  1397 182329.888  110   13 267035.987 182329.888  31.7%  73.6  155s
  1992  1460 182329.888  111   13 267035.987 182329.888  31.7%  71.7  160s
  2077  1545 182329.888  112   15 267035.987 182329.888  31.7%  69.8  165s
  2164  1632 182329.888  110   15 267035.987 182329.888  31.7%  68.0  170s
  2260  1728 182329.888  112   18 267035.987 182329.888  31.7%  66.1  175s
  2352  1820 182329.888  109   13 267035.987 182329.888  31.7%  64.5  180s
  2442  1910 182329.888  111   15 267035.987 182329.888  31.7%  63.0  185s
