
Gurobi 10.0.0 (win64) logging started Thu Jul 30 20:34:31 2026

Set parameter LogFile to value "output\Taller_DET_Agosto\Swap_8lhds_max_production\station_1_d121_stage1\ELMO_log.txt"
Set parameter Threads to value 1
Set parameter Heuristics to value 0.5
Set parameter MIPFocus to value 3
Set parameter Presolve to value 2
Set parameter FlowCoverCuts to value 2
Gurobi Optimizer version 10.0.0 build v10.0.0rc2 (win64)

CPU model: 11th Gen Intel(R) Core(TM) i7-1165G7 @ 2.80GHz, instruction set [SSE2|AVX|AVX2|AVX512]
Thread count: 4 physical cores, 8 logical processors, using up to 1 threads

Optimize a model with 36103 rows, 81491 columns and 371038 nonzeros
Model fingerprint: 0x1feba5a6
Variable types: 4807 continuous, 76684 integer (43561 binary)
Coefficient statistics:
  Matrix range     [1e+00, 4e+02]
  Objective range  [4e-01, 8e+04]
  Bounds range     [1e+00, 1e+01]
  RHS range        [1e+00, 3e+04]
Presolve removed 33373 rows and 59828 columns
Presolve time: 0.79s
Presolved: 2730 rows, 21663 columns, 67023 nonzeros
Variable types: 472 continuous, 21191 integer (20844 binary)
Root relaxation presolved: 2730 rows, 21663 columns, 67023 nonzeros


Use crossover to convert LP symmetric solution to basic solution...

Root relaxation: objective 5.893221e+05, 8836 iterations, 0.40 seconds (0.15 work units)

    Nodes    |    Current Node    |     Objective Bounds      |     Work
 Expl Unexpl |  Obj  Depth IntInf | Incumbent    BestBd   Gap | It/Node Time

     0     0 610397.087    0  102          - 610397.087      -     -    3s
H    0     0                    671637.06667 610397.087  9.12%     -    3s
     0     0 630330.986    0   31 671637.067 630330.986  6.15%     -    7s
     0     0 631190.730    0  102 671637.067 631190.730  6.02%     -   11s
     0     0 631190.730    0  102 671637.067 631190.730  6.02%     -   11s
     0     0 631190.730    0   19 671637.067 631190.730  6.02%     -   14s
     0     0 631190.730    0  125 671637.067 631190.730  6.02%     -   16s
     0     0 631190.730    0   44 671637.067 631190.730  6.02%     -   20s
     0     0 631190.730    0  115 671637.067 631190.730  6.02%     -   26s
     0     0 631190.730    0   45 671637.067 631190.730  6.02%     -   30s
     0     0 631190.730    0  133 671637.067 631190.730  6.02%     -   31s
     0     0 631190.730    0   52 671637.067 631190.730  6.02%     -   34s
     0     0 631190.730    0   33 671637.067 631190.730  6.02%     -   35s
     0     2 631190.730    0   31 671637.067 631190.730  6.02%     -   48s
     3     5 631190.730    2  140 671637.067 631190.730  6.02%  1689   50s
     9    11 631190.730    5  128 671637.067 631190.730  6.02%  1065   55s
    20    22 631190.730   10   39 671637.067 631190.730  6.02%   915   60s
H   24    24                    671637.03195 631190.730  6.02%  1095   64s
    24    26 631190.730    7  115 671637.032 631190.730  6.02%  1131   65s
    35    37 631190.730   10   54 671637.032 631190.730  6.02%  1262   70s
    40    42 631190.730   10   40 671637.032 631190.730  6.02%  1463   75s
    48    50 631190.730    5  139 671637.032 631190.730  6.02%  1405   80s
    62    64 631190.730   10   25 671637.032 631190.730  6.02%  1277   86s
    63    65 631190.730   11   59 671637.032 631190.730  6.02%  1271   96s
    65    67 631190.730    9  131 671637.032 631190.730  6.02%  1257  100s
    69    71 631190.730   11   90 671637.032 631190.730  6.02%  1547  105s
    73    75 631190.730   13   82 671637.032 631190.730  6.02%  1568  110s
    83    85 631190.730   10  140 671637.032 631190.730  6.02%  1489  116s
    94    96 631190.730   10  136 671637.032 631190.730  6.02%  1432  120s
   100   102 631190.730   18  155 671637.032 631190.730  6.02%  1368  125s
   106   108 631190.730   19  137 671637.032 631190.730  6.02%  1316  133s
H  107   107                    671637.03105 631190.730  6.02%  1304  142s
   110   112 631190.730   20   98 671637.031 631190.730  6.02%  1371  145s
   122   124 631190.730   24   82 671637.031 631190.730  6.02%  1329  150s
   137   139 631190.730   30   32 671637.031 631190.730  6.02%  1279  156s
   141   143 631190.730   32   89 671637.031 631190.730  6.02%  1250  160s
   150   152 631190.730   26   81 671637.031 631190.730  6.02%  1205  166s
   158   160 631190.730   26  119 671637.031 631190.730  6.02%  1167  170s
   164   166 631190.730   29  114 671637.031 631190.730  6.02%  1137  180s
   172   174 631190.730   33  110 671637.031 631190.730  6.02%  1103  186s
   178   180 631190.730   36  113 671637.031 631190.730  6.02%  1112  190s
   188   190 631190.730   24   84 671637.031 631190.730  6.02%  1075  196s
   192   194 631190.730   25   92 671637.031 631190.730  6.02%  1061  200s
   194   196 631190.730   23  117 671637.031 631190.730  6.02%  1058  205s
   202   204 631190.730   21  155 671637.031 631190.730  6.02%  1051  211s
   203   205 631190.730   28   65 671637.031 631190.730  6.02%  1048  222s
   207   209 631190.730   30   50 671637.031 631190.730  6.02%  1064  235s
   213   215 631190.730   20  151 671637.031 631190.730  6.02%  1078  240s
   224   226 631190.730   24  101 671637.031 631190.730  6.02%  1046  245s
   244   246 631190.730   29  111 671637.031 631190.730  6.02%   986  250s
   259   261 631190.730   31   66 671637.031 631190.730  6.02%   945  255s
   275   277 631190.730   39   55 671637.031 631190.730  6.02%   904  260s
   283   285 631190.730   43   57 671637.031 631190.730  6.02%   891  265s
   285   287 631190.730   44   56 671637.031 631190.730  6.02%   929  274s
