
Gurobi 12.0.3 (win64) logging started Mon Sep  7 22:17:40 2026

Set parameter LogFile to value "C:\Users\TECNO-MASTER\Desktop\Elmo_infrastructure_sizing_NP-\output\DCH_septiembre\Bateria_353\Costo_fijo\Swap_restringido\Swap_fixed_3estaciones_320kW_Descomp\station_3_d335_stage1\ELMO_log.txt"
Set parameter Threads to value 1
Set parameter Heuristics to value 0.5
Set parameter MIPFocus to value 3
Set parameter Presolve to value 2
Set parameter FlowCoverCuts to value 2
Gurobi Optimizer version 12.0.3 build v12.0.3rc0 (win64 - Windows 11+.0 (26200.2))

CPU model: Intel(R) Core(TM) i9-14900K, instruction set [SSE2|AVX|AVX2]
Thread count: 24 physical cores, 32 logical processors, using up to 1 threads

Non-default parameters:
TimeLimit  1200
MIPGap  0.05
Heuristics  0.5
MIPFocus  3
FlowCoverCuts  2
Presolve  2
Threads  1

Optimize a model with 26872 rows, 53707 columns and 243987 nonzeros
Model fingerprint: 0x0314f1be
Variable types: 2099 continuous, 51608 integer (18485 binary)
Coefficient statistics:
  Matrix range     [1e+00, 3e+02]
  Objective range  [4e-01, 8e+04]
  Bounds range     [1e+00, 1e+01]
  RHS range        [1e+00, 1e+04]
Presolve removed 25540 rows and 44945 columns
Presolve time: 0.25s
Presolved: 1332 rows, 8762 columns, 28041 nonzeros
Variable types: 216 continuous, 8546 integer (8258 binary)
Root relaxation presolved: 1332 rows, 8762 columns, 28041 nonzeros


Use crossover to convert LP symmetric solution to basic solution...

Root relaxation: objective 1.999768e+05, 3582 iterations, 0.07 seconds (0.06 work units)

    Nodes    |    Current Node    |     Objective Bounds      |     Work
 Expl Unexpl |  Obj  Depth IntInf | Incumbent    BestBd   Gap | It/Node Time

     0     0 199976.824    0   17          - 199976.824      -     -    0s
H    0     0                    328494.77778 199976.824  39.1%     -    0s
     0     0 200503.778    0    8 328494.778 200503.778  39.0%     -    1s
     0     0 200503.778    0    8 328494.778 200503.778  39.0%     -    1s
     0     0 200503.778    0    8 328494.778 200503.778  39.0%     -    1s
     0     0 200503.778    0   20 328494.778 200503.778  39.0%     -    1s
     0     0 200503.778    0    6 328494.778 200503.778  39.0%     -    1s
     0     0 200503.778    0   13 328494.778 200503.778  39.0%     -    2s
     0     0 200503.778    0   16 328494.778 200503.778  39.0%     -    2s
     0     0 200503.778    0   13 328494.778 200503.778  39.0%     -    2s
     0     0 200503.778    0   13 328494.778 200503.778  39.0%     -    2s
H    0     0                    328365.00000 200503.778  38.9%     -    3s
     0     2 200503.778    0   13 328365.000 200503.778  38.9%     -    4s
H    9     9                    327716.11111 200503.778  38.8%   183    5s
    78    80 200503.778   39   30 327716.111 200503.778  38.8%   212   10s
   116   118 200503.778   58   16 327716.111 200503.778  38.8%   192   15s
H  197   195                    327067.22222 200503.778  38.7%   143   18s
   216   214 200503.778  108   33 327067.222 200503.778  38.7%   143   20s
   300   280 200503.778  147   18 327067.222 200503.778  38.7%   155   26s
   379   333 200503.778  182   29 327067.222 200503.778  38.7%   158   30s
   444   396 200503.778   26    8 327067.222 200503.778  38.7%   156   35s
   489   441 200503.778   49   20 327067.222 200503.778  38.7%   164   40s
   541   492 200503.778   39   13 327067.222 200503.778  38.7%   160   45s
   548   497 200503.778   72   28 327067.222 200503.778  38.7%   157   50s
   555   501 200503.778   57   17 327067.222 200503.778  38.7%   155   55s
   563   509 200503.778   13   17 327067.222 200503.778  38.7%   210   60s
   663   573 200503.778   35   19 327067.222 200503.778  38.7%   186   65s
   744   627 200503.778   47   23 327067.222 200503.778  38.7%   168   70s
   796   660 200503.778   29   18 327067.222 200503.778  38.7%   159   75s
   838   688 200503.778   57   15 327067.222 200503.778  38.7%   154   80s
   922   744 200503.778   35   13 327067.222 200503.778  38.7%   143   85s
  1006   796 200503.778   76   32 327067.222 200503.778  38.7%   137   90s
  1093   854 200503.778  122   13 327067.222 200503.778  38.7%   130   95s
  1129   876 200503.778  140   19 327067.222 200503.778  38.7%   126  100s
  1228   934 200503.778  188   17 327067.222 200503.778  38.7%   119  105s
  1325   993 200503.778  236   24 327067.222 200503.778  38.7%   115  110s
  1462  1038 200503.778  296   23 327067.222 200503.778  38.7%   107  115s
  1574  1037 200503.778  334   27 327067.222 200503.778  38.7%   101  120s
  1702  1110 200503.778   90   13 327067.222 200503.778  38.7%  96.3  126s
  1814  1177 200503.778  142   15 327067.222 200503.778  38.7%  91.8  130s
  1968  1265 200503.778  216   28 327067.222 200503.778  38.7%  87.2  135s
  2048  1291 200503.778  250   18 327067.222 200503.778  38.7%  86.8  140s
  2158  1366 200503.778  136   23 327067.222 200503.778  38.7%  84.8  145s
  2266  1466 200503.778   72   11 327067.222 200503.778  38.7%  82.2  150s
  2339  1533 200503.778  107   12 327067.222 200503.778  38.7%  80.5  155s
  2482  1668 200503.778  177   15 327067.222 200503.778  38.7%  78.3  160s
  2607  1771 200503.778  263   19 327067.222 200503.778  38.7%  76.7  165s
  2734  1864 200503.778   83   13 327067.222 200503.778  38.7%  74.5  170s
  2857  1985 200503.778   43   15 327067.222 200503.778  38.7%  72.4  175s
  2984  2108 200503.778   54   17 327067.222 200503.778  38.7%  70.8  180s
